x,y,z,psi,n,p,Donor,Acceptor,NetDoping,R_SRH,R_Auger,Eg_eff,Eg_bgn,nie,EC,EV,phi_n,phi_p,ND_II,NA_II,mu_n_low,mu_p_low,E,Jn,Jp,J,grad_phi_n,grad_phi_p,Gn,Gp,G
5.625000000000e+01,3.437500000000e+01,0.000000000000e+00,9.2580263105426830e-02,9.0418791835704609e+13,4.2009399022831036e+11,9.0000000077115203e+13,1.1179476712819503e+06,8.9999998959167531e+13,-1.5564108102944766e+11,-7.8801474602877395e+04,1.0915583216109677e+00,2.3725456960843605e-04,6.1631945411351572e+12,4.5176900147479354e-01,-6.3978932013617429e-01,5.5911896532285545e-07,6.1389385317756669e-08,8.9998703820876078e+13,1.1179475335731560e+06,7.305784659608662e+02,2.458919346477824e+02,1.093143286903939e-05,4.514617463224060e-07,5.674454071402671e-11,4.515081958492951e-07,8.580417479819016e-05,5.728865835101589e-06,4.036044791464826e-23,1.729701904773006e-16,1.729702308377485e-16
6.250000000000e+01,3.437500000000e+01,0.000000000000e+00,9.2580251984963918e-02,9.0418790542109828e+13,4.2009407623991876e+11,9.0000000077115203e+13,1.1179476712819503e+06,8.9999998959167531e+13,-1.5358844693057318e+11,-7.7762219029714484e+04,1.0915583216109677e+00,2.3725456960843605e-04,6.1631945411351572e+12,4.5176901259525648e-01,-6.3978930901571140e-01,5.4849164514165355e-07,5.7326300200593889e-08,8.9998703820894609e+13,1.1179475335731278e+06,7.305784659591875e+02,2.458919346516523e+02,4.589341991016850e-05,5.471122146365686e-07,6.997357240739665e-11,5.471495122376233e-07,8.280527830590492e-05,7.551218031291931e-06,6.639061418027449e-23,1.614010422766154e-16,1.614011086672295e-16
6.875000000000e+01,3.437500000000e+01,0.000000000000e+00,9.2580234752757576e-02,9.0418792056645031e+13,4.2009421117148590e+11,9.0000000077115203e+13,1.1179476712819503e+06,8.9999998959167531e+13,-1.4994589716254782e+11,-7.5917989479808064e+04,1.0915583216109677e+00,2.3725456960843605e-04,6.1631945411351572e+12,4.5176902982746281e-01,-6.3978929178350508e-01,5.3068206936344228e-07,5.1165422465320690e-08,8.9998703820872906e+13,1.1179475335730836e+06,7.305784659568675e+02,2.458919346470742e+02,3.280214156898314e-05,4.150767433439145e-07,9.003802840738966e-11,4.151105129315867e-07,7.580941738859431e-05,7.483638401370184e-06,6.833207183590117e-23,1.359027621064439e-16,1.359028304385157e-16
7.500000000000e+01,3.437500000000e+01,0.000000000000e+00,9.2580212838916431e-02,9.0418790860682453e+13,4.2009439481691949e+11,9.0000000077115203e+13,1.1179476712819503e+06,8.9999998959167531e+13,-1.4537658632771112e+11,-7.3604534547050644e+04,1.0915583216109677e+00,2.3725456960843605e-04,6.1631945411351572e+12,4.5176905174130394e-01,-6.3978926986966389e-01,5.0922415176132526e-07,4.4319946858599902e-08,8.9998703820890047e+13,1.1179475335730235e+06,7.305784659533988e+02,2.458919346506298e+02,7.105023226525756e-05,4.484501823741426e-07,9.407437440568845e-11,4.484445343941079e-07,6.861129000995041e-05,1.000814868150769e-05,1.114805742249339e-22,1.105797567365273e-16,1.105798682171015e-16
6.250000000000e+01,4.125000000000e+01,0.000000000000e+00,9.2580192262418010e-02,9.0418799444078828e+13,4.2009478513732104e+11,9.0000000905626188e+13,6.1620742197743077e+00,9.0000000905620016e+13,-1.3433870134548985e+11,-6.8016037694275743e+04,1.0915583216110722e+00,2.3725456950388592e-04,6.1631945411258076e+12,4.5176907231785468e-01,-6.3978924929321779e-01,4.8537544832639263e-07,5.5769815552936166e-08,8.9998704649266000e+13,6.1620734607285685e+00,7.305784659446678e+02,2.458919346258308e+02,8.274589980232572e-05,5.203128801899920e-07,4.340829540736081e-11,5.203308115246934e-07,7.454024189870250e-05,4.323582073697113e-06,2.897470827647796e-23,1.317370488559716e-16,1.317370778306798e-16
7.500000000000e+01,4.812500000000e+01,0.000000000000e+00,9.2580120466351640e-02,9.0418809427500797e+13,4.2009558410545978e+11,9.0000009691429016e+13,3.7575614553366650e-06,9.0000009691429016e+13,-1.1265007338994621e+11,-5.7035041015042960e+04,1.0915583216079014e+00,2.3725457267473411e-04,6.1631945414092852e+12,4.5176914411233554e-01,-6.3978917749556596e-01,4.0977509889868159e-07,4.9528483202308099e-08,8.9998713434800859e+13,3.7575609924784891e-06,7.305784657767352e+02,2.458919345806265e+02,4.769210558990535e-05,3.889340927850589e-07,4.226948450986917e-11,3.889181581727888e-07,6.298414365182650e-05,4.333054323396192e-06,2.330242677906663e-23,9.347351683318960e-17,9.347354013561638e-17
7.500000000000e+01,4.125000000000e+01,0.000000000000e+00,9.2580166408905401e-02,9.0418799656147125e+13,4.2009499720763306e+11,9.0000000905626188e+13,6.1620742197743077e+00,9.0000000905620016e+13,-1.2887223057172282e+11,-6.5248349938903484e+04,1.0915583216110722e+00,2.3725456950388592e-04,6.1631945411258076e+12,4.5176909817136729e-01,-6.3978922343970523e-01,4.5944109128921631e-07,4.7316945335409283e-08,8.9998704649262953e+13,6.1620734607281848e+00,7.305784659410662e+02,2.458919346251413e+02,6.902851301117604e-05,4.416682847987266e-07,6.485726386864177e-11,4.416497183300121e-07,6.270980642392921e-05,6.770415758986864e-06,5.682951887846511e-23,9.369624521713208e-17,9.369630204665093e-17
8.750000000000e+01,4.812500000000e+01,0.000000000000e+00,9.2580103304371261e-02,9.0418809573189500e+13,4.2009572979557532e+11,9.0000009691429016e+13,3.7575614553366650e-06,9.0000009691429016e+13,-1.0889466449132381e+11,-5.5133667640486536e+04,1.0915583216079014e+00,2.3725457267473411e-04,6.1631945414092852e+12,4.5176916127431588e-01,-6.3978916033358557e-01,3.9255757923293980e-07,4.4320542753190084e-08,8.9998713434798766e+13,3.7575609924783286e-06,7.305784657743050e+02,2.458919345801628e+02,3.689293995610524e-05,3.284868108992815e-07,5.450236395595668e-11,3.284422775270307e-07,5.388427364249400e-05,5.413990786568598e-06,3.562675557920318e-23,6.877731263109895e-17,6.877734825785453e-17
7.500000000000e+01,5.500000000000e+01,0.000000000000e+00,9.2580104439654698e-02,9.0418897581710969e+13,4.2009579916100861e+11,9.0000094505376641e+13,2.5348891799290027e-13,9.0000094505376641e+13,-9.6633140697987625e+10,-4.8925707977559745e+04,1.0915583215772915e+00,2.3725460328481929e-04,6.1631945441458652e+12,4.5176916012372748e-01,-6.3978916145356401e-01,3.6015767936438750e-07,5.1132032562932559e-08,8.9998798246279562e+13,2.5348888676800133e-13,7.305784643213540e+02,2.458919341690231e+02,1.646110210028800e-04,3.847912510505027e-07,2.861228038909812e-11,3.847778933154721e-07,6.214329311411496e-05,2.928697018928690e-06,1.052266527103682e-23,9.063934264316658e-17,9.063935316583186e-17
7.500000000000e+01,6.187500000000e+01,0.000000000000e+00,9.2580346940769900e-02,9.0419664152673984e+13,4.2009285896619586e+11,9.0000839759768812e+13,1.8918451287422909e-21,9.0000839759768812e+13,-8.0774385254305771e+10,-4.0896965538016120e+04,1.0915583213083233e+00,2.3725487225281373e-04,6.1631945681919062e+12,4.5176891748812831e-01,-6.3978940382019522e-01,3.1056352465310419e-07,5.2251568072694040e-08,8.9999543479092516e+13,1.8918448957054643e-21,7.305784516480129e+02,2.458919305763207e+02,1.831264736961091e-03,3.829752576894068e-07,1.910939288519114e-11,3.829654217753990e-07,6.173760023302056e-05,1.955321142666833e-06,4.656049375275247e-24,8.930470661886238e-17,8.930471127491175e-17
8.750000000000e+01,5.500000000000e+01,0.000000000000e+00,9.2580093186084025e-02,9.0418897676528125e+13,4.2009589397933710e+11,9.0000094505376641e+13,2.5348891799290027e-13,9.0000094505376641e+13,-9.4189037543460846e+10,-4.7688249978879401e+04,1.0915583215772915e+00,2.3725460328481929e-04,6.1631945441458652e+12,4.5176917137729816e-01,-6.3978915019999338e-01,3.4886796267976066e-07,4.7658410277831142e-08,8.9998798246278203e+13,2.5348888676799426e-13,7.305784643197765e+02,2.458919341687209e+02,1.711789660302143e-04,3.456726694351734e-07,3.744694696570010e-11,3.456406039257865e-07,5.624235490377515e-05,3.720520259702277e-06,1.676539235779515e-23,7.437114002047156e-17,7.437115678586392e-17
8.750000000000e+01,6.187500000000e+01,0.000000000000e+00,9.2580339570492790e-02,9.0419664214285797e+13,4.2009292058001379e+11,9.0000839759768812e+13,1.8918451287422909e-21,9.0000839759768812e+13,-7.9186181520729309e+10,-4.0092840541566380e+04,1.0915583213083233e+00,2.3725487225281373e-04,6.1631945681919062e+12,4.5176892485840542e-01,-6.3978939644991817e-01,3.0316976019320770e-07,4.9936808122136907e-08,8.9999543479091641e+13,1.8918448957054304e-21,7.305784516469928e+02,2.458919305761248e+02,1.835667926502224e-03,3.574894486946600e-07,2.516127497373342e-11,3.574674194005338e-07,5.788912459800083e-05,2.500280389092216e-06,7.579924840607198e-24,7.856438393045849e-17,7.856439151038332e-17
7.500000000000e+01,6.875000000000e+01,0.000000000000e+00,9.2582622735196796e-02,9.0425767082332094e+13,4.2006514579327893e+11,9.0006799601500266e+13,1.5620175265624898e-30,9.0006799601500266e+13,-6.5038353212249649e+10,-3.2933496668928907e+04,1.0915583191574303e+00,2.3725702314590210e-04,6.1631947604842197e+12,4.5176664061825478e-01,-6.3979167853917551e-01,2.6098226294342863e-07,5.2982993701416754e-08,9.0005503148639953e+13,1.5620173341665771e-30,7.305783503999436e+02,2.458919019282287e+02,1.387856542518710e-02,3.821807006489030e-07,1.245144158002734e-11,3.821742958333982e-07,6.152727594628115e-05,1.275752276431286e-06,1.978279838102539e-24,8.864265017932062e-17,8.864265215760045e-17
7.500000000000e+01,7.562500000000e+01,0.000000000000e+00,9.2599430177355169e-02,9.0470020546337281e+13,4.1986047003941620e+11,9.0050169723383516e+13,1.4267896230803965e-40,9.0050169723383516e+13,-4.9389869058513634e+10,-2.5030815000937346e+04,1.0915583035083674e+00,2.3727267220878054e-04,6.1631961595285449e+12,4.5174982535156505e-01,-6.3980847815680253e-01,2.1142009871537868e-07,5.3409069276954321e-08,9.0048872019453766e+13,1.4267894474274621e-40,7.305776137411873e+02,2.458916939494438e+02,9.292604317314783e-02,3.818331418267863e-07,7.873587816463714e-12,3.818296340239417e-07,6.135853197778339e-05,8.104516799651170e-07,8.002973886060152e-25,8.822117916579476e-17,8.822117996609214e-17
